Feature,Importance
Vibration_Z_wp_ddd_mean,3.1611884195888424e-06
Force_Y_wp_aad_mean,3.112458098508988e-06
AE_RMS_wp_dda_mean,2.774365702116242e-06
Force_Z_wp_dad_mean,2.721745468044422e-06
Vibration_Z_wp_dda_entropy,2.6163433400763633e-06
Vibration_X_mean,2.566418052984194e-06
Force_Y_wp_dda_mean,2.5204340977562572e-06
Vibration_Y_wp_dda_std,2.5170104805487347e-06
AE_RMS_wp_dad_mean,2.493762688381378e-06
Force_X_wp_add_mean,2.465952884514832e-06
Vibration_Z_wp_dda_energy,2.4266358759421954e-06
Force_X_wp_dda_entropy,2.259534620616555e-06
Force_Z_peak_freq,2.2177476214912425e-06
Vibration_Z_wp_dad_mean,2.210637287053354e-06
Vibration_X_wp_aad_mean,2.1831529281486514e-06
Force_X_freq_band_5_ratio,2.1038997012772156e-06
Vibration_Y_wp_ada_mean,2.0645078553165782e-06
Vibration_X_freq_centroid,2.0021385295111697e-06
Force_Y_wavelet_min,1.9542095535212625e-06
Force_Y_mean,1.93355009202606e-06
Force_Y_wp_ddd_mean,1.8981077780164034e-06
Force_Z_wp_aaa_mean,1.8935980925540921e-06
Vibration_X_freq_band_3_ratio,1.880895541269901e-06
AE_RMS_kurtosis,1.853416304931742e-06
Vibration_X_wp_ddd_mean,1.8200650677809703e-06
Force_X_mean,1.7671204451564882e-06
Force_Z_wp_aad_mean,1.7393172535877932e-06
AE_RMS_freq_band_4_ratio,1.7355984421828935e-06
AE_RMS_peak2peak,1.7229979574358566e-06
Force_Z_wp_ada_mean,1.7207154686166877e-06
Vibration_Z_freq_band_5_ratio,1.717947079033538e-06
AE_RMS_wp_ada_mean,1.6852652263731018e-06
Force_X_freq_centroid,1.6777682966147393e-06
Force_X_wp_dda_mean,1.6738467683218062e-06
Vibration_X_wp_dad_mean,1.6664556452307322e-06
Force_Z_wp_dda_std,1.6603348356508936e-06
Vibration_Y_wp_aad_mean,1.6426885966755927e-06
Force_Z_freq_centroid,1.6180992521170354e-06
Vibration_Z_energy,1.3891526591573953e-06
AE_RMS_mean,1.2873462595948892e-06
Vibration_X_wp_dda_std,1.2337822338368889e-06
Vibration_X_wp_ada_mean,1.2241371383775856e-06
AE_RMS_freq_band_2_ratio,1.1802561523806076e-06
Force_Z_wp_daa_mean,1.142066151276448e-06
Vibration_Y_wp_ddd_mean,1.1184457435687172e-06
Vibration_X_wp_dda_energy,1.0977145812113472e-06
AE_RMS_wavelet_scale_1_ratio,1.0865026130185906e-06
Vibration_Y_wavelet_min,1.0679905129729428e-06
Vibration_Y_wp_aaa_mean,1.0415295554622874e-06
Vibration_X_wp_add_mean,9.118796132312934e-07
Vibration_X_wp_dda_mean,9.1119898624235e-07
Force_Y_wp_aaa_mean,8.676162329893054e-07
AE_RMS_freq_centroid,8.616107665349367e-07
Force_Z_mean,7.989857821175942e-07
Vibration_Z_wp_aad_mean,7.616310170674792e-07
Force_Z_freq_band_4_ratio,7.572051651287352e-07
Force_X_freq_band_4_ratio,7.4947814165669e-07
Force_X_wp_ada_mean,7.446403009052658e-07
Vibration_X_wp_aaa_mean,7.364719923474254e-07
AE_RMS_wp_aaa_mean,7.334895631469496e-07
Force_Y_energy,7.320459821890124e-07
Vibration_Z_mean,7.301726485420249e-07
Vibration_X_freq_band_5_ratio,7.065241836384513e-07
Vibration_X_freq_band_4_ratio,5.882899961219063e-07
Force_Z_wp_dda_energy,5.29535519496004e-07
AE_RMS_wp_aaa_energy,4.829789578032552e-07
Vibration_Y_freq_band_4_ratio,4.615779604744963e-07
Vibration_Y_energy,4.307819089227989e-07
Vibration_Y_wp_dda_mean,4.0139973716068187e-07
Vibration_Z_wp_add_mean,3.987391054899311e-07
Force_Z_energy,3.736200364129528e-07
Force_Y_wp_ada_mean,3.609098087337503e-07
Force_X_wavelet_min,3.3301539088037974e-07
Force_Z_wp_add_mean,3.305264445161946e-07
Force_X_wp_dda_std,3.1137149050063636e-07
Vibration_X_energy,3.0619382723011527e-07
Force_X_wp_daa_mean,1.4146368239657957e-07
Force_Z_wp_ddd_mean,1.381379699109472e-07
Force_Y_freq_band_4_ratio,1.2591814387479704e-07
Force_X_wp_aad_mean,1.106245128034315e-07
Vibration_Z_freq_band_4_ratio,9.751640046974526e-08
Vibration_Y_wp_add_mean,5.039145037267537e-08
Force_Z_wavelet_min,2.6601634593533295e-08
Force_Y_wp_add_mean,2.572457913195909e-08
AE_RMS_rms,0.0
Vibration_X_var,0.0
Force_X_var,0.0
Force_X_rms,0.0
Force_Y_std,0.0
Force_Y_var,0.0
Force_Y_rms,0.0
Vibration_Y_freq_energy,0.0
AE_RMS_freq_energy,0.0
Force_Z_std,0.0
Force_Z_var,0.0
Force_Z_rms,0.0
Vibration_X_freq_energy,0.0
Vibration_X_std,0.0
Vibration_X_rms,0.0
AE_RMS_var,0.0
Vibration_Y_std,0.0
Vibration_Y_var,0.0
Vibration_Y_rms,0.0
Force_Z_freq_energy,0.0
Force_Y_freq_energy,0.0
Vibration_Z_std,0.0
Vibration_Z_var,0.0
Vibration_Z_freq_energy,0.0
Force_X_std,0.0
Force_X_freq_energy,0.0
AE_RMS_std,0.0
Vibration_Z_rms,0.0
